Spring 2017,ANTH 230 G,Ancient Societies,Maria Masucci,WF 11:50 AM-01:05 PM BC215,Treehouse Course Information,interdisc_breadth,

Spring 2017,ANTH 375 G,Museums & Society,Margaret Kuntz,W 11:50 AM-01:05 PM ARTS105,Treehouse Course Information,interdisc_breadth,

Spring 2017,ARTH 219H F,Honors: Special Topics in ARTH - Modern Age in the West: Cities Through Art:: Film and Literature,Marie-Pascale PierettiKimberly Rhodes,TR 10:25 AM-11:40 AM ARTS106,Treehouse Course Information,interdisc_breadth,

Spring 2017,ARTH 375 G,Museums and Society,Margaret Kuntz,W 11:50 AM-01:05 PM ARTS105,Treehouse Course Information,interdisc_breadth,

Spring 2017,BIOL 302 D,Geographic Information Systems,Lisa Jordan,TR 09:00 AM-10:15 AM LC16,Treehouse Course Information,interdisc_breadth,

Spring 2017,CE 250 L,Leadership in Practice,Amy Koritz,MW 04:30 PM-05:45 PM BC203,Treehouse Course Information,interdisc_breadth,

Spring 2017,ECON 286 X,Social Entrepreneurship,Jennifer Olmsted,TR 09:00 AM-05:00 PM,Treehouse Course Information,interdisc_breadth,

Spring 2017,ESS 265 G,Energy and Environment,Bjorg Larson,MWF 11:50 AM-12:55 PM BC103,Treehouse Course Information,interdisc_breadth,

Spring 2017,ESS 283 S,Topics in Environment and Society - Native North American Cultures,Marc Boglioli,R 07:00 PM-09:30 PM BC217,Treehouse Course Information,interdisc_breadth,

Spring 2017,ESS 302 D,Geographic Information Systems,Lisa Jordan,TR 09:00 AM-10:15 AM LC16,Treehouse Course Information,interdisc_breadth,

Spring 2017,ESS 383 C,Advanced Topics: Environment and Society - Medical Geography,Lisa Jordan,MWF 09:10 AM-10:15 AM HSCS142,Treehouse Course Information,interdisc_breadth,

Spring 2017,ESS 383 R,Advanced Topics: Environment and Society: History:: Culture and Environment,Marc Boglioli,W 07:00 PM-09:30 PM BC202,Treehouse Course Information,interdisc_breadth,

Spring 2017,FREN 368 E,Selected Topics in French: France and its Ghosts: History:: Memory and Monuments,Sophia Khadraoui,MW 10:25 AM-11:40 AM BC13A,Treehouse Course Information,interdisc_breadth,

Spring 2017,FREN 368 X,Selected Topics in French: France and its Ghosts - History:: Memory and Monuments,Sophia Khadraoui,-,Treehouse Course Information,interdisc_breadth,

Spring 2017,GERM 256 M,German Film in English: Vampires on Film from German Expressionsim to Today,Joshua Kavaloski,TR 04:30 PM-06:30 PM LC30,Treehouse Course Information,interdisc_breadth,

Spring 2017,HIST 201 E,Selected Topics in History: US Food Cultures,Mary Kirby-Calder,MW 10:25 AM-11:40 AM BC217,Treehouse Course Information,interdisc_breadth,

Spring 2017,HUM 203H K,Honors: Mass Migration in the 21st Century:: Peril or Opportunity?,Marie-Pascale PierettiDi BaiClifford EvansCaitlin KillianNancy NogueraJennifer OlmstedKaren PechilisRaul RosalesBernard Smith,TR 01:15 PM-02:30 PM BC217,Treehouse Course Information,interdisc_breadth,

